NRG Systems SymphoniePRO Desktop Application
Software Version:	3.16.0.24 (build built by CI server 2024-03-14)
2025-07-20 13:40:00	0.407375	0.201960	0.350000	1.115000	0.862550	0.000000	275.370000	94.910000	238.640000	29.244127	0.068273	29.145130	29.373846	68.168640	0.366211	67.713928	68.862915	1010.126196	0.037212	1010.014561	1010.293649	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.626099	0.012463	0.591017	0.654718	0.665335	0.005078	0.651025	0.678259												
2025-07-20 13:42:00	0.489995	0.297585	0.350000	1.115000	1.115000	0.000000	267.620000	37.020000	236.090000	29.496738	0.064860	29.373846	29.599148	67.922974	0.366211	67.195129	68.559265	1010.033167	0.037212	1009.921532	1010.163408	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.625637	0.012463	0.591017	0.655179	0.671335	0.006924	0.656103	0.691646												
2025-07-20 13:44:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	289.260000	21.460000	180.000000	29.691317	0.054619	29.595734	29.783486	67.022705	0.111389	66.793823	67.272949	1009.940138	0.037212	1009.847108	1010.070379	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.621021	0.009694	0.590094	0.639023	0.661642	0.007847	0.636254	0.676413												
2025-07-20 13:46:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	321.640000	8.180000	180.000000	29.831277	0.023896	29.780072	29.875655	66.967773	0.143433	66.690063	67.253113	1009.921532	0.018606	1009.828502	1010.014561	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.622406	0.010155	0.591479	0.644101	0.666719	0.006462	0.651487	0.679183												
2025-07-20 13:48:00	0.382130	0.153765	0.350000	1.115000	0.862550	0.000000	23.450000	36.260000	65.750000	29.896137	0.006827	29.875655	29.909791	66.670227	0.114441	66.395569	66.889954	1009.940138	0.018606	1009.865714	1010.014561	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.625637	0.010155	0.594710	0.650563	0.670874	0.005078	0.656564	0.683337												
2025-07-20 13:50:00	0.432620	0.238680	0.350000	1.115000	1.115000	0.000000	51.070000	30.440000	337.300000	29.916619	0.017068	29.896137	29.957583	66.629028	0.277710	66.340637	67.399597	1009.940138	0.018606	1009.884320	1010.033167	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.627022	0.012925	0.537010	0.651948	0.662103	0.006001	0.647332	0.673643												
2025-07-20 13:52:00	0.375245	0.137700	0.350000	1.115000	0.862550	0.000000	312.640000	9.510000	323.880000	29.937101	0.013655	29.899550	29.960996	66.783142	0.259399	66.377258	67.567444	1009.902926	0.018606	1009.809896	1009.995955	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.629791	0.016156	0.486234	0.657487	0.665796	0.007386	0.639023	0.681491												
2025-07-20 13:54:00	0.522125	0.350370	0.350000	1.880000	1.627550	0.000000	300.410000	35.340000	236.100000	29.872241	0.010241	29.858586	29.896137	66.812134	0.381470	66.178894	67.942810	1009.865714	0.037212	1009.754079	1009.977349	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.627945	0.010155	0.595171	0.650102	0.657487	0.006001	0.640870	0.674105												
2025-07-20 13:56:00	0.681245	0.512550	0.350000	2.645000	2.132450	0.000000	269.690000	35.780000	278.240000	29.913205	0.017068	29.875655	29.957583	67.832947	0.923157	66.702271	69.648743	1009.865714	0.037212	1009.754079	1009.977349	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.625637	0.032774	0.293746	0.657026	0.662565	0.009232	0.639947	0.679183												
2025-07-20 13:58:00	0.489995	0.297585	0.350000	1.115000	1.115000	0.000000	265.630000	24.080000	254.450000	30.036097	0.047791	29.954169	30.118025	66.793823	0.500488	65.982056	67.568970	1009.865714	0.037212	1009.735473	1009.977349	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.632561	0.032774	0.298362	0.659795	0.665796	0.006462	0.642716	0.679644												
2025-07-20 14:00:00	0.401255	0.191250	0.350000	1.115000	1.115000	0.000000	263.200000	53.690000	249.000000	30.186298	0.047791	30.114611	30.268226	66.575623	0.457764	65.774536	67.335510	1009.847108	0.037212	1009.735473	1009.921532	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.635331	0.010617	0.606711	0.659795	0.670874	0.006462	0.654256	0.686107												
2025-07-20 14:02:00	0.458630	0.267750	0.350000	1.115000	1.115000	0.000000	304.940000	61.330000	319.920000	30.298949	0.017068	30.268226	30.346741	66.145325	0.297546	65.573120	66.728210	1009.791291	0.037212	1009.698261	1009.902926	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.632561	0.011078	0.591940	0.655641	0.674105	0.007386	0.656564	0.690723												
2025-07-20 14:04:00	0.910745	0.451350	0.350000	1.880000	1.367450	0.000000	319.620000	23.720000	315.890000	30.281881	0.071687	30.148748	30.363809	66.462708	0.497437	65.583801	67.648315	1009.772685	0.037212	1009.661049	1009.865714	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.624714	0.012925	0.590094	0.650563	0.672720	0.007847	0.654718	0.689338												
2025-07-20 14:06:00	1.082870	0.572985	0.350000	1.880000	1.880000	0.000000	314.610000	34.850000	328.530000	30.104370	0.027309	30.042924	30.152162	66.522217	1.068115	65.368652	68.600464	1009.735473	0.018606	1009.661049	1009.847108	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.635331	0.019849	0.443766	0.654718	0.667181	0.009232	0.650563	0.684722												
2025-07-20 14:08:00	1.070630	0.435285	0.350000	1.880000	1.880000	0.000000	311.280000	29.140000	261.030000	30.001960	0.013655	29.981478	30.042924	67.286682	0.531006	66.490173	68.342590	1009.698261	0.018606	1009.642443	1009.791291	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.630253	0.021695	0.446536	0.664873	0.664411	0.006924	0.646409	0.678721												
2025-07-20 14:10:00	0.757745	0.494955	0.350000	2.645000	2.132450	0.000000	334.870000	44.240000	348.170000	30.097543	0.054619	30.008788	30.199953	67.971802	0.668335	66.979980	69.422913	1009.698261	0.018606	1009.642443	1009.809896	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.648717	0.010155	0.621021	0.681491	0.673643	0.006001	0.660719	0.686107												
2025-07-20 14:12:00	0.598625	0.422280	0.350000	1.880000	1.627550	0.000000	353.550000	42.140000	18.310000	30.326259	0.058032	30.210194	30.418428	67.083740	0.540161	66.079712	68.450928	1009.698261	0.037212	1009.605232	1009.809896	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.648255	0.011078	0.618251	0.682414	0.684260	0.005078	0.674567	0.696262												
2025-07-20 14:14:00	0.535130	0.357255	0.350000	1.880000	1.367450	0.000000	7.920000	17.700000	352.130000	30.442323	0.023896	30.411600	30.496942	66.407776	0.659180	65.605164	67.671204	1009.642443	0.037212	1009.512202	1009.716867	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.656564	0.012002	0.612712	0.679644	0.688415	0.008309	0.666258	0.707340												
2025-07-20 14:16:00	0.592505	0.371025	0.350000	1.880000	1.367450	0.000000	88.240000	36.160000	108.430000	30.575456	0.051205	30.496942	30.671039	65.243530	0.221252	64.796448	65.646362	1009.549414	0.018606	1009.456385	1009.642443	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.664411	0.011078	0.628407	0.693031	0.697185	0.006001	0.678721	0.710110												
2025-07-20 14:18:00	0.649880	0.537030	0.350000	2.645000	2.392550	0.000000	186.810000	48.050000	149.310000	30.752967	0.061446	30.667625	30.862204	65.347290	0.300598	64.884949	66.133118	1009.493596	0.037212	1009.400567	1009.623838	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.675490	0.010617	0.640408	0.704571	0.710110	0.006462	0.690723	0.728574												
2025-07-20 14:20:00	1.319255	0.785655	0.350000	2.645000	2.645000	0.000000	244.580000	48.580000	248.920000	30.991923	0.078514	30.858791	31.125056	66.885376	1.675415	64.587402	69.558716	1009.456385	0.037212	1009.363355	1009.568020	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.687953	0.008309	0.663027	0.710110	0.724420	0.004616	0.711495	0.732728												
2025-07-20 14:22:00	0.745505	0.485775	0.350000	1.880000	1.627550	0.000000	231.250000	23.120000	217.260000	31.282085	0.095583	31.125056	31.452768	65.621948	0.849915	64.115906	67.213440	1009.437779	0.037212	1009.363355	1009.549414	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.683799	0.011540	0.641331	0.704109	0.714726	0.011540	0.683337	0.730420												
2025-07-20 14:24:00	0.866375	0.445230	0.350000	1.880000	1.880000	0.000000	225.800000	21.710000	213.930000	31.630279	0.102410	31.456182	31.811203	65.867615	0.627136	64.822388	67.018127	1009.419173	0.037212	1009.344749	1009.568020	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.686107	0.011540	0.651025	0.715649	0.719804	0.006924	0.705032	0.734113												
2025-07-20 14:26:00	0.426500	0.270045	0.350000	1.880000	1.627550	0.000000	258.820000	100.200000	100.930000	31.998955	0.109237	31.814617	32.162811	64.349365	0.500488	63.165283	65.707397	1009.456385	0.037212	1009.344749	1009.586626	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.693492	0.009694	0.658411	0.713803	0.726266	0.006001	0.708264	0.739652												
2025-07-20 14:28:00	0.732500	0.495720	0.350000	1.880000	1.880000	0.000000	111.280000	90.780000	24.440000	32.179879	0.017068	32.162811	32.241325	63.534546	0.663757	62.182617	64.709473	1009.437779	0.037212	1009.344749	1009.549414	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.694877	0.007847	0.670412	0.712880	0.729497	0.006001	0.714264	0.744268												
2025-07-20 14:30:00	1.115000	0.619650	0.350000	2.645000	2.132450	0.000000	93.010000	61.710000	132.960000	32.326667	0.044378	32.237911	32.381285	64.132690	0.387573	63.465881	65.231323	1009.493596	0.037212	1009.400567	1009.605232	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.705494	0.009232	0.673182	0.723958	0.736883	0.004154	0.726266	0.747961												
2025-07-20 14:32:00	1.216745	0.594405	0.350000	2.645000	2.132450	0.000000	168.810000	75.230000	101.730000	32.347149	0.010241	32.330080	32.377872	64.105225	0.434875	63.275146	65.374756	1009.512202	0.037212	1009.400567	1009.661049	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.699493	0.012463	0.667181	0.724420	0.734113	0.006462	0.715649	0.747500												
2025-07-20 14:34:00	0.872495	0.642600	0.350000	3.410000	2.645000	0.000000	206.710000	77.530000	165.510000	32.374458	0.006827	32.353976	32.388113	62.947083	0.683594	61.676025	64.222717	1009.549414	0.037212	1009.474991	1009.679655	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.705032	0.010617	0.664873	0.727189	0.742884	0.008770	0.731344	0.767810												
2025-07-20 14:36:00	0.738620	0.485775	0.350000	1.880000	1.627550	0.000000	234.210000	97.430000	138.590000	32.377872	0.010241	32.357390	32.412008	63.172913	0.538635	62.402344	64.816284	1009.549414	0.037212	1009.400567	1009.679655	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.711033	0.010617	0.678721	0.732728	0.734113	0.010155	0.715649	0.761348												
2025-07-20 14:38:00	0.764630	0.524025	0.350000	1.880000	1.880000	0.000000	49.010000	62.170000	109.220000	32.343735	0.058032	32.265221	32.425663	62.109375	0.428772	61.386108	63.027954	1009.512202	0.037212	1009.437779	1009.623838	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.701801	0.010617	0.670874	0.727189	0.724881	0.007386	0.706417	0.740576												
2025-07-20 14:40:00	0.662120	0.414630	0.350000	1.880000	1.627550	0.000000	101.340000	38.270000	135.600000	32.162811	0.044378	32.108192	32.265221	62.150574	0.611877	61.164856	63.615417	1009.512202	0.037212	1009.437779	1009.605232	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.690723	0.009694	0.657026	0.719342	0.717034	0.006001	0.705494	0.729959												
2025-07-20 14:42:00	0.636875	0.444465	0.350000	1.880000	1.627550	0.000000	216.770000	52.570000	218.750000	32.241325	0.085342	32.118433	32.405181	62.760925	1.416016	61.274719	65.039063	1009.493596	0.037212	1009.400567	1009.586626	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.699493	0.010155	0.664873	0.724881	0.722112	0.008309	0.696724	0.739191												
2025-07-20 14:44:00	0.566495	0.488070	0.350000	2.645000	1.880000	0.000000	196.500000	37.370000	186.550000	32.582692	0.085342	32.405181	32.715825	61.904907	0.897217	60.864258	64.088440	1009.512202	0.037212	1009.400567	1009.623838	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.688415	0.013848	0.646871	0.728112	0.726266	0.006001	0.709187	0.742422												
2025-07-20 14:46:00	0.770750	0.625770	0.350000	2.645000	2.132450	0.000000	174.330000	37.860000	70.760000	32.749961	0.020482	32.715825	32.787512	61.158752	0.938416	60.255432	63.922119	1009.512202	0.037212	1009.400567	1009.642443	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.697647	0.012002	0.666719	0.728574	0.722573	0.007386	0.707802	0.738729												
2025-07-20 14:48:00	1.453130	1.164330	0.350000	5.705000	5.192450	0.000000	113.640000	37.930000	117.570000	32.664620	0.054619	32.599760	32.756789	63.757324	2.008057	61.364746	67.427063	1009.474991	0.037212	1009.363355	1009.605232	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.697647	0.008770	0.668566	0.717496	0.717034	0.008309	0.693954	0.733652												
2025-07-20 14:50:00	0.445625	0.253980	0.350000	1.115000	0.862550	0.000000	273.460000	70.570000	259.730000	32.773857	0.081928	32.644138	32.924058	61.495972	0.387573	60.862732	62.457275	1009.512202	0.037212	1009.400567	1009.605232	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.697185	0.009232	0.669489	0.718419	0.718880	0.007847	0.698570	0.734113												
2025-07-20 14:52:00	1.159370	0.605880	0.350000	2.645000	2.132450	0.000000	232.280000	37.420000	231.040000	33.002573	0.040964	32.924058	33.070846	64.562988	1.350403	62.255859	67.207336	1009.493596	0.037212	1009.400567	1009.605232	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.684260	0.011078	0.652410	0.717496	0.710110	0.010617	0.683337	0.729959												
2025-07-20 14:54:00	0.592505	0.384030	0.350000	1.880000	1.367450	0.000000	255.270000	67.480000	203.760000	33.111810	0.013655	33.074260	33.128878	61.692810	0.410461	60.813904	62.516785	1009.437779	0.037212	1009.363355	1009.568020	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.680567	0.011078	0.643639	0.705956	0.702724	0.006924	0.686568	0.723496												
2025-07-20 14:56:00	1.229750	0.677025	0.350000	3.410000	2.897450	0.000000	201.460000	58.900000	205.150000	32.985504	0.068273	32.876267	33.104983	62.159729	0.376892	61.331177	63.203430	1009.437779	0.037212	1009.344749	1009.549414	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.684260	0.020772	0.497774	0.718880	0.692108	0.005539	0.681952	0.711033												
2025-07-20 14:58:00	0.904625	0.569160	0.350000	1.880000	1.880000	0.000000	119.920000	75.690000	79.870000	32.825062	0.030723	32.753375	32.876267	61.779785	0.503540	60.858154	63.629150	1009.474991	0.018606	1009.381961	1009.568020	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.677336	0.012463	0.587324	0.704109	0.696262	0.008309	0.676875	0.714264												
2025-07-20 15:00:00	0.866375	0.604350	0.350000	2.645000	2.132450	0.000000	97.740000	61.530000	149.850000	32.661206	0.051205	32.551969	32.753375	61.685181	0.692749	60.856628	63.716125	1009.456385	0.037212	1009.381961	1009.549414	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.678259	0.011078	0.635792	0.705032	0.699493	0.005539	0.684722	0.712418												
2025-07-20 15:02:00	0.611630	0.390150	0.350000	1.880000	1.367450	0.000000	213.660000	69.640000	156.890000	32.490523	0.020482	32.459800	32.551969	62.052917	0.825500	60.664368	64.122009	1009.419173	0.037212	1009.344749	1009.549414	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.677798	0.011078	0.641793	0.703648	0.700878	0.007847	0.679183	0.716572												
2025-07-20 15:04:00	0.585620	0.393975	0.350000	1.880000	1.627550	0.000000	116.910000	40.000000	112.590000	32.534900	0.027309	32.487109	32.579278	61.573792	0.381470	60.977173	62.399292	1009.381961	0.018606	1009.288932	1009.474991	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.677798	0.009232	0.645486	0.699032	0.699032	0.006001	0.678721	0.710110												
2025-07-20 15:06:00	0.432620	0.238680	0.350000	1.115000	1.115000	0.000000	224.570000	90.690000	236.980000	32.511005	0.030723	32.480282	32.582692	60.792542	0.395203	60.058594	61.804199	1009.288932	0.037212	1009.158691	1009.419173	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.685645	0.010617	0.644101	0.714264	0.703648	0.006462	0.684260	0.719342												
2025-07-20 15:08:00	0.929870	0.823905	0.350000	3.410000	3.157550	0.000000	146.240000	59.390000	138.500000	32.483695	0.023896	32.449559	32.524659	62.591553	1.358032	60.832214	66.133118	1009.233114	0.037212	1009.084267	1009.344749	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.680106	0.009694	0.651948	0.697647	0.700878	0.006462	0.687953	0.720727												
2025-07-20 15:10:00	0.815120	0.744345	0.350000	3.410000	3.410000	0.000000	164.990000	69.260000	108.170000	32.500764	0.030723	32.456386	32.562210	61.973572	0.785828	60.385132	63.627625	1009.233114	0.037212	1009.102873	1009.344749	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.679644	0.011540	0.642716	0.710110	0.695339	0.005539	0.681952	0.712880												
2025-07-20 15:12:00	1.956500	0.921825	0.350000	3.410000	3.410000	0.000000	116.370000	34.270000	88.270000	32.306185	0.139960	32.063815	32.538314	64.582825	1.528931	62.171936	67.321777	1009.177296	0.037212	1009.084267	1009.307538	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.679183	0.012925	0.639023	0.704109	0.695800	0.007847	0.678721	0.717034												
